@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
472,9,2,589,0.003384,0.981289,0.995781,0.981289,0.004219,0.988482,0.442164,2.219286,0.69
471,10,2,589,0.003384,0.97921,0.995772,0.97921,0.004228,0.987421,0.441231,2.219267,0.71
470,11,2,589,0.003384,0.977131,0.995763,0.977131,0.004237,0.986359,0.440299,2.219247,0.73
469,12,2,589,0.003384,0.975052,0.995754,0.975052,0.004246,0.985294,0.439366,2.219227,0.74
467,14,2,589,0.003384,0.970894,0.995736,0.970894,0.004264,0.983158,0.4375,2.219186,0.75
466,15,2,589,0.003384,0.968815,0.995726,0.968815,0.004274,0.982086,0.436567,2.219166,0.77
465,16,2,589,0.003384,0.966736,0.995717,0.966736,0.004283,0.981013,0.435634,2.219146,0.78
464,17,2,589,0.003384,0.964657,0.995708,0.964657,0.004292,0.979937,0.434701,2.219125,0.79
462,19,2,589,0.003384,0.960499,0.99569,0.960499,0.00431,0.977778,0.432836,2.219084,0.81
461,20,2,589,0.003384,0.95842,0.99568,0.95842,0.00432,0.976695,0.431903,2.219063,0.82
459,22,2,589,0.003384,0.954262,0.995662,0.954262,0.004338,0.974522,0.430037,2.219021,0.83
458,23,1,590,0.001692,0.952183,0.997821,0.952183,0.002179,0.974468,0.428172,2.223835,0.85
457,24,1,590,0.001692,0.950104,0.997817,0.950104,0.002183,0.973376,0.427239,2.223824,0.88
455,26,1,590,0.001692,0.945946,0.997807,0.945946,0.002193,0.971185,0.425373,2.223803,0.89
451,30,1,590,0.001692,0.93763,0.997788,0.93763,0.002212,0.966774,0.421642,2.223759,0.9
449,32,1,590,0.001692,0.933472,0.997778,0.933472,0.002222,0.964554,0.419776,2.223738,0.91
445,36,1,590,0.001692,0.925156,0.997758,0.925156,0.002242,0.960086,0.416045,2.223693,0.92
440,41,0,591,0,0.914761,1,0.914761,0,0.955483,0.410448,2.22869,0.94
436,45,0,591,0,0.906445,1,0.906445,0,0.950927,0.406716,2.22869,0.95
428,53,0,591,0,0.889813,1,0.889813,0,0.941694,0.399254,2.22869,0.96
417,64,0,591,0,0.866944,1,0.866944,0,0.928731,0.388993,2.22869,0.97
406,75,0,591,0,0.844075,1,0.844075,0,0.915445,0.378731,2.22869,0.98
383,98,0,591,0,0.796258,1,0.796258,0,0.886574,0.357276,2.22869,0.99
329,152,0,591,0,0.683992,1,0.683992,0,0.812346,0.306903,2.22869,1
0,481,0,591,0,0,?,0,?,?,0,?,1.00001
