@relation banknote_evaluacion-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute variance numeric
@attribute skewness numeric
@attribute curtosis numeric
@attribute entropy numeric
@attribute class {0,1}

@data
0.586097,0.619967,0.304337,0.7629,0
0.254429,0.250434,0.72342,0.773589,1
0.783073,0.410497,0.313372,0.813083,0
0.52122,0.732993,0.305333,0.741264,0
0.480737,0.492423,0.561122,0.846712,0
0.715926,0.609233,0.30893,0.817384,0
0.203636,0.614287,0.244917,0.672439,1
0.789988,0.43812,0.324628,0.897022,0
0.918754,0.504814,0.231479,0.920751,0
0.587476,0.59424,0.066542,0.788578,1
0.660219,0.66409,0.242697,0.741915,0
0.467887,0.834017,0.074464,0.527236,0
0.391323,0.913341,0.082543,0.190946,0
0.551113,0.809312,0.243539,0.688735,0
0.673554,0.574822,0.291012,0.823772,0
0.79733,0.938439,0.040545,0.360654,0
0.394859,0.910892,0.311844,0.217154,0
0.375778,0.595029,0.533825,0.871869,0
0.811332,0.83473,0.090166,0.637512,0
0.296442,0.259195,0.551475,0.85336,1
0.731606,0.759197,0.219955,0.636201,0
0.765461,0.371112,0.404954,0.898716,0
0.412959,0.63607,0.162374,0.618874,1
0.356997,0.626203,0.101341,0.556831,1
0.790595,0.623758,0.250545,0.854272,0
0.416852,0.265664,0.437269,0.815168,1
0.404014,0.592108,0.153835,0.642854,1
0.838489,0.571663,0.216968,0.974447,0
0.577197,0.841515,0.122593,0.690951,0
0.702681,0.785557,0.179027,0.83081,0
0.26252,0.589503,0.247444,0.73631,1
0.197606,0.031727,0.786245,0.46598,1
0.303484,0.506393,0.280869,0.894805,1
0.276949,0.176873,0.619742,0.683,1
0.380633,0.647276,0.126458,0.435347,1
0.869736,0.646803,0.15774,0.894805,0
0.499789,0.824782,0.262491,0.445255,0
0.3945,0.58232,0.527623,0.824814,0
0.202513,0.023755,0.972243,0.549654,1
0.374632,0.274585,0.471725,0.870043,1
0.809144,0.616889,0.236188,0.818427,0
0.500969,0.393608,0.275927,0.918795,1
0.356869,0.976401,0.334047,0.446949,0
0.867916,0.50805,0.234465,0.882687,0
0.361245,0.52131,0.170106,0.72849,1
0.024213,0.852802,0.214901,0.408756,1
0.589244,0.353036,0.575979,0.607141,0
0.361836,0.627938,0.116927,0.587716,1
0.306181,0.659116,0.151194,0.490222,1
0.357244,0.518626,0.180634,0.744653,1
0.608819,0.339145,0.595162,0.568292,0
0.678753,0.620836,0.30805,0.802265,0
0.753467,0.878769,0.052221,0.656412,0
0.319554,0.165979,0.633294,0.695382,1
0.479577,0.857615,0.256748,0.355966,0
0.876261,0.672771,0.125886,0.82312,0
0.560964,0.744436,0.318314,0.788709,0
0.910281,0.906395,0.022663,0.397547,0
0.340942,0.63165,0.111337,0.54288,1
0.513379,0.351774,0.418775,0.682348,0
0.314332,0.576557,0.177801,0.65237,1
0.528311,0.558484,0.394311,0.67635,0
0.436593,0.850357,0.296794,0.345665,0
0.382528,0.435751,0.282322,0.844496,1
0.752058,0.781926,0.184386,0.734746,0
0.465916,0.622888,0.09047,0.715847,1
0.793719,0.918471,0.028065,0.302391,0
0.587858,0.647437,0.225047,0.769939,0
0.783748,0.557143,0.249588,0.850231,0
0.580703,0.675452,0.007006,0.387638,1
0.404898,0.648936,0.154371,0.584723,1
0.343459,0.581611,0.216547,0.668921,1
0.792513,0.537016,0.279565,0.847885,0
0.416412,0.880665,0.291817,0.291837,0
0.440414,0.346014,0.587463,0.50886,0
0.881446,0.942306,0.019987,0.368607,0
0.315306,0.661565,0.183353,0.656281,1
0.858364,0.613654,0.206631,0.945769,0
1,0.720757,0.100886,0.837066,0
0.167085,0.649172,0.249014,0.681436,1
0.733719,0.78611,0.167772,0.805654,0
0.449274,0.512233,0.194111,0.824293,1
0.51737,0.781533,0.295494,0.720278,0
0.646479,0.811761,0.193154,0.595932,0
0.543972,0.70679,0.000076,0.210895,1
0.160013,0.226992,0.749149,0.635425,1
0.513859,0.782479,0.245645,0.725883,0
0.433643,0.587923,0.147745,0.665272,1
