"variance","skewness","curtosis","entropy","class"
-1.2792,2.1376,-0.47584,-1.3974,1
-1.1193,10.7271,2.0938,-5.6504,0
2.9571,-4.5938,5.9068,0.57196,0
-1.7101,-8.7903,7.9735,-0.45475,1
-5.2943,-5.1463,10.3332,-1.1181,1
4.2478,7.6956,-2.7696,-1.0767,0
3.6894,9.887,-4.0788,-4.3664,0
-3.3863,-12.9889,13.0545,-2.7202,1
-1.2846,3.2715,-1.7671,-3.2608,1
-3.6085,3.3253,-0.51954,-3.5737,1
3.9994,0.90427,1.1693,1.6892,0
-1.2568,-1.4733,2.8718,0.44653,1
-2.0529,3.8385,-0.79544,-1.2138,1
0.56232,1.0015,-2.2726,-0.0060486,1
3.0948,8.7324,-2.9007,-0.96682,0
-2.0149,3.6874,-1.9385,-3.8918,1
-5.637,8.1261,0.13081,-5.0142,1
4.7072,8.2957,-2.5605,-1.4905,0
-1.8187,-9.0366,9.0162,-0.12243,1
-3.7573,-8.2916,10.3032,0.38059,1
-4.8861,7.0542,-0.17252,-6.959,1
2.2517,-5.1422,4.2916,-1.2487,0
-1.1667,-1.4237,2.9241,0.66119,1
0.88992,2.2638,-3.1046,-0.11855,1
1.8216,-6.4748,8.0514,-0.41855,0
1.0117,0.9022,-2.3506,0.42714,1
-2.7083,-6.8266,7.5339,0.59007,1
-2.7338,0.45523,2.4391,0.21766,1
-2.4824,-7.3046,6.839,-0.59053,1
2.5227,2.2369,2.7236,0.79438,0
-0.38214,8.3909,2.1624,-3.7405,0
-1.0802,2.1996,-2.5862,-1.2759,1
0.26637,0.73252,-0.67891,0.03533,1
-6.2815,6.6651,0.52581,-7.0107,1
2.1948,1.3781,1.1582,0.85774,0
0.39559,6.8866,1.0588,-0.67587,0
-1.8974,3.5074,-1.7842,-3.8491,1
-1.4233,-0.98912,2.3586,0.39481,1
-0.8471,3.1329,-3.0112,-2.9388,1
1.0637,3.6957,-4.1594,-1.9379,1
1.5099,0.039307,6.2332,-0.30346,0
1.1676,9.1566,-2.0867,-0.80647,0
-0.2062,9.2207,-3.7044,-6.8103,0
5.1321,-0.031048,0.32616,1.1151,0
0.27451,9.2186,-3.2863,-4.8448,0
1.2138,8.7986,-2.1672,-0.74182,0
-0.83535,0.80494,-1.6411,-0.19225,1
2.6799,3.1349,0.34073,0.58489,0
-2.0285,3.8468,-0.63435,-1.175,1
1.7425,3.6833,-4.0129,-1.7207,1
1.7747,-6.4334,8.15,-0.89828,0
-1.6952,1.0657,8.8294,0.94955,0
-0.3489,3.1929,-3.4054,-3.1832,1
3.1887,-3.4143,2.7742,-0.2026,0
4.5691,-4.4552,3.1769,0.0042961,0
0.76163,5.8209,1.1959,-0.64613,0
-6.3979,6.4479,1.0836,-6.6176,1
1.3349,6.1189,0.46497,0.49826,0
-4.7462,3.1205,1.075,-1.2966,1
-0.1269,-1.1505,-0.95138,0.57843,1
1.5799,-4.7076,7.9186,-1.5487,0
2.7206,9.0821,-3.3111,-0.96811,0
-0.24811,-0.17797,4.9068,0.15429,0
-0.33729,-0.64976,7.6659,0.72326,0
3.4566,9.5228,-4.0112,-3.5944,0
-1.8076,-8.8131,8.7086,-0.21682,1
4.4069,10.9072,-4.5775,-4.4271,0
-1.366,0.18416,0.90539,1.5806,1
0.3798,0.7098,0.7572,-0.4444,0
0.51947,-3.2633,3.0895,-0.98492,0
-0.89809,-4.4862,2.2009,0.50731,1
-3.0799,0.60836,2.7039,-0.23751,1
-2.588,3.8654,-0.3336,-1.2797,1
6.5633,9.8187,-4.4113,-3.2258,0
-0.36506,2.8928,-3.6461,-3.0603,1
2.6917,10.8161,-3.3,-4.2888,0
-2.0066,-6.719,9.0162,0.099985,1
-5.4808,8.1819,0.27818,-5.0323,1
1.3638,-4.7759,8.4182,-1.8836,0
2.2034,5.9947,0.53009,0.84998,0
-2.3675,-0.43663,1.692,-0.43018,1
1.7939,-1.1174,1.5454,-0.26079,0
2.093,8.3061,0.022844,-3.2724,0
4.8278,7.7598,-2.4491,-1.2216,0
-3.3553,0.35591,2.6473,-0.37846,1
-2.564,-1.7051,1.5026,0.32757,1
-1.5621,-2.2121,4.2591,0.27972,1
0.045304,6.7334,1.0708,-0.9332,0
3.7767,9.7794,-3.9075,-3.5323,0
-0.8172,3.3812,-3.6684,-3.456,1
3.4591,11.112,-4.2039,-5.0931,0
3.7352,9.5911,-3.9032,-3.3487,0
0.86736,5.5643,1.6765,-0.16769,0
-3.5713,-12.4922,14.8881,-0.47027,1
-0.87834,3.257,-3.6778,-3.2944,1
-0.97325,-6.4168,5.6026,1.0323,1
3.5251,0.7201,1.6928,0.64438,0
5.3586,3.7557,-1.7345,1.0789,0
0.030219,-1.0512,1.4024,0.77369,1
4.7965,6.9859,-1.9967,-0.35001,0
3.4359,0.66216,2.1041,1.8922,0
-1.3389,1.552,7.0806,1.031,0
-1.0555,0.79459,-1.6968,-0.46768,1
1.3566,4.2358,2.1341,0.3211,0
2.3718,7.4908,0.015989,-1.7414,0
4.4549,2.4976,1.0313,0.96894,0
-2.0545,-10.8679,9.4926,-1.4116,1
-1.8782,-6.5865,4.8486,-0.021566,1
-1.8584,7.886,-1.6643,-1.8384,0
3.9772,0.33521,2.2566,2.1625,0
2.5581,2.6218,1.8513,0.40257,0
0.86202,2.6963,4.2908,0.54739,0
-4.1958,-8.1819,12.1291,-1.6017,1
2.9695,5.6222,0.27561,-1.1556,0
3.4916,8.5709,-3.0326,-0.59182,0
-6.5235,9.6014,-0.25392,-6.9642,1
-1.3,10.2678,-2.953,-5.8638,0
0.74067,1.7299,-3.1963,-0.1457,1
0.3292,-4.4552,4.5718,-0.9888,0
4.8272,3.0687,0.68604,0.80731,0
-4.3773,-5.5167,10.939,-0.4082,1
2.6104,8.0081,-0.23592,-1.7608,0
-4.0679,2.4955,0.79571,-1.1039,1
-0.70346,2.957,-3.5947,-3.1457,1
-0.71494,-4.4448,2.2241,0.49826,1
4.7926,1.7071,-0.051701,1.4926,0
1.3754,8.8793,-1.9136,-0.53751,0
3.1377,-4.1096,4.5701,0.98963,0
3.2351,9.647,-3.2074,-2.5948,0
4.9852,8.3516,-2.5425,-1.2823,0
0.051979,7.0521,-2.0541,-3.1508,0
3.9362,10.1622,-3.8235,-4.0172,0
0.5195,-3.2633,3.0895,-0.9849,0
-0.39416,-0.020702,-0.066267,-0.44699,1
1.8238,-6.7748,8.3873,-0.54139,0
-0.21888,-2.2038,-0.0954,0.56421,1
0.74307,11.17,-1.3824,-4.0728,0
1.8205,6.7562,0.0099913,0.39481,0
-3.6961,-13.6779,17.5795,-2.6181,1
-1.3971,3.3191,-1.3927,-1.9948,1
-2.2261,12.5398,2.9438,-3.5258,0
3.2032,5.7588,-0.75345,-0.61251,0
4.8451,8.1116,-2.9512,-1.4724,0
5.6084,10.3009,-4.8003,-4.3534,0
-0.29858,2.4769,-2.9512,-0.66165,1
0.518,0.25865,-0.84085,0.96118,1
3.5982,7.1307,-1.3035,0.21248,0
0.85574,0.0082678,6.6042,-0.53104,0
4.0329,0.23175,0.89082,1.1823,0
2.0177,1.7982,-2.9581,0.2099,1
0.3798,0.7098,0.7572,-0.4444,0
0.61652,3.8944,-4.7275,-4.3948,1
2.3729,10.4726,-3.0087,-3.2013,0
-2.4458,1.6285,-0.88541,-1.4802,1
-1.7279,-6.841,8.9494,0.68058,1
-3.7181,-8.5089,12.363,-0.95518,1
-0.62043,0.5587,-0.38587,-0.66423,1
2.6562,10.7044,-3.3085,-4.0767,0
1.5691,6.3465,-0.1828,-2.4099,0
3.9414,-3.2902,3.1674,1.0866,0
-0.023579,7.1742,0.78457,-0.75734,0
-1.2537,10.8803,1.931,-4.3237,0
-1.5951,-6.572,4.7689,-0.94354,1
-0.90784,-7.9026,6.7807,0.34179,1
0.89566,7.7763,-2.7473,-1.9353,0
-1.0744,-6.3113,5.355,0.80472,1
1.2999,2.5762,2.0107,-0.18967,0
-3.1273,-7.1121,11.3897,-0.083634,1
3.9292,-2.9156,2.2129,0.30817,0
0.4339,5.5395,2.033,-0.40432,0
-0.10648,-0.76771,7.7575,0.64179,0
3.0329,2.2948,2.1135,0.35084,0
-3.8053,2.4273,0.6809,-1.0871,1
4.0215,-2.1914,2.4648,1.1409,0
5.7403,-0.44284,0.38015,1.3763,0
1.3183,1.9017,-3.3111,0.065071,1
2.2893,3.733,0.6312,-0.39786,0
-0.278,8.1881,-3.1338,-2.5276,0
-1.3,10.2678,-2.953,-5.8638,0
0.83292,7.5404,0.65005,-0.92544,0
2.4673,1.3926,1.7125,0.41421,0
4.1195,10.9258,-3.8929,-4.1802,0
-1.2528,10.2036,2.1787,-5.6038,0
-1.5075,1.9224,7.1466,0.89136,0
4.3064,8.2068,-2.7824,-1.4336,0
-2.5665,-6.8824,7.5416,0.70774,1
3.2422,6.2265,0.12224,-1.4466,0
3.6941,-3.9482,4.2625,1.1577,0
-1.0112,2.9984,-1.1664,-1.6185,1
-1.7582,2.7397,-2.5323,-2.234,1
4.0296,2.6756,0.80685,0.71679,0
-0.95923,-6.7128,4.9857,0.32886,1
-1.1306,1.8458,-1.3575,-1.3806,1
4.6689,1.3098,0.055404,1.909,0
1.1811,8.3847,-2.0567,-0.90345,0
2.8561,6.9176,-0.79372,0.48403,0
-3.0193,1.7775,0.73745,-0.45346,1
-3.8858,-12.8461,12.7957,-3.1353,1
-2.4725,-0.40145,1.4855,1.1189,1
-2.8267,-9.0407,9.0694,-0.98233,1
-1.4427,3.2922,-1.9702,-3.4392,1
5.086,3.2798,-1.2701,1.1189,0
0.14783,7.946,1.0742,-3.3409,0
-1.2576,1.5892,7.0078,0.42455,0
-3.8203,-13.0551,16.9583,-2.3052,1
-1.5228,-6.4789,5.7568,0.87325,1
4.2772,2.4955,0.48554,0.36119,0
0.16358,-3.3584,1.3749,1.3569,1
-1.7599,11.9211,2.6756,-3.3241,0
5.0617,-0.35799,0.44698,0.99868,0
-1.7015,-0.010356,-0.99337,-0.53104,1
-6.2003,8.6806,0.0091344,-3.703,1
1.3419,-4.4221,8.09,-1.7349,0
-1.6936,2.7852,-2.1835,-1.9276,1
-2.4365,3.6026,-1.4166,-2.8948,1
-1.7549,-0.080711,-0.75774,-0.3707,1
1.6032,-4.7863,8.5193,-2.1203,0
2.5367,2.599,2.0938,0.20085,0
3.534,9.3614,-3.6316,-1.2461,0
-2.258,-9.3263,9.3727,-0.85949,1
-0.12196,8.8068,0.94566,-4.2267,0
5.1731,3.9606,-1.983,0.40774,0
0.96441,5.8395,2.3235,0.066365,0
5.6272,10.0857,-4.2931,-3.8142,0
-1.9725,2.8825,-2.3086,-2.3724,1
0.32924,-4.4552,4.5718,-0.9888,0
-2.3277,1.4381,-0.82114,-1.2862,1
0.52855,0.96427,4.0243,-1.0483,0
-0.69572,8.6165,1.8419,-4.3289,0
-1.4174,-2.2535,1.518,0.61981,1
3.5152,6.8224,-0.67377,-0.46898,0
-0.30432,2.6528,-2.7756,-0.65647,1
4.0713,10.4023,-4.1722,-4.7582,0
1.3234,3.2964,0.2362,-0.11984,0
3.9382,0.9291,0.78543,0.6767,0
1.2279,4.0309,-4.6435,-3.9125,1
-1.1188,3.3357,-1.3455,-1.9573,1
-1.9389,1.5706,0.045979,-1.122,1
4.0552,0.40143,1.4563,0.65343,0
-0.96511,9.4111,1.7305,-4.8629,0
-0.64472,-4.6062,8.347,-2.7099,0
5.2423,11.0272,-4.353,-4.1013,0
-2.3147,3.6668,-0.6969,-1.2474,1
4.9342,2.4107,-0.17594,1.6245,0
6.8248,5.2187,-2.5425,0.5461,0
-4.2932,3.3419,0.77258,-0.99785,1
3.2704,6.9321,-1.0456,0.23447,0
-0.52645,-0.24832,-0.45613,0.41938,1
0.38251,6.8121,1.8128,-0.61251,0
2.1059,7.6046,-0.47755,-1.8461,0
0.7376,4.8525,-4.7986,-5.6659,1
-4.3876,-7.7267,11.9655,-1.4543,1
0.33565,6.8369,0.69718,-0.55691,0
-0.7351,1.7361,-1.4938,-1.1582,1
